ccode,country_name,year,value
56.0,Belgium,1820,16.62734117
156.0,China,1820,3.7109343
250.0,France,1820,18.24135167
276.0,Germany,1820,8.42668786
380.0,Italy,1820,3.58432787
392.0,Japan,1820,4.26582125
528.0,Netherlands,1820,13.81689042
604.0,Peru,1820,3.38653945
616.0,Poland,1820,7.96305334
792.0,Turkey,1820,7.36199575
826.0,United Kingdom,1820,14.77305799
56.0,Belgium,1821,19.70923681
250.0,France,1821,19.29804191
276.0,Germany,1821,9.75721752
380.0,Italy,1821,3.37398524
392.0,Japan,1821,4.21123122
528.0,Netherlands,1821,14.19776382
604.0,Peru,1821,3.87156582
616.0,Poland,1821,6.43030037
724.0,Spain,1821,18.69844076
792.0,Turkey,1821,6.66733333
826.0,United Kingdom,1821,17.84219601
56.0,Belgium,1822,21.69885723
156.0,China,1822,3.47292003
250.0,France,1822,18.53574077
276.0,Germany,1822,9.75721752
380.0,Italy,1822,4.3949832
392.0,Japan,1822,3.91878461
528.0,Netherlands,1822,21.19218209
604.0,Peru,1822,4.70152902
616.0,Poland,1822,6.7940949
724.0,Spain,1822,18.7952933
826.0,United Kingdom,1822,19.38008208
56.0,Belgium,1823,18.8253706
250.0,France,1823,17.94753493
276.0,Germany,1823,9.26935665
380.0,Italy,1823,4.61734807
392.0,Japan,1823,5.17045611
528.0,Netherlands,1823,18.4367828
604.0,Peru,1823,4.66373523
616.0,Poland,1823,8.41652894
724.0,Spain,1823,18.89307713
826.0,United Kingdom,1823,16.3642072
56.0,Belgium,1824,25.14646071
156.0,China,1824,2.88597367
250.0,France,1824,18.9444264
276.0,Germany,1824,12.35914219
380.0,Italy,1824,5.08067342
392.0,Japan,1824,3.93828105
528.0,Netherlands,1824,20.76488563
604.0,Peru,1824,4.05768589
616.0,Poland,1824,10.82589351
724.0,Spain,1824,12.23150296
826.0,United Kingdom,1824,14.9734819
56.0,Belgium,1825,23.52626064
156.0,China,1825,3.08894975
250.0,France,1825,17.89724206
276.0,Germany,1825,12.78531951
380.0,Italy,1825,4.68099491
392.0,Japan,1825,3.87589244
528.0,Netherlands,1825,19.49685867
616.0,Poland,1825,11.21577884
724.0,Spain,1825,12.29924387
826.0,United Kingdom,1825,14.2007214
56.0,Belgium,1826,20.40817523
250.0,France,1826,15.77783023
276.0,Germany,1826,11.23558381
380.0,Italy,1826,4.84055923
392.0,Japan,1826,4.05525969
528.0,Netherlands,1826,15.57174818
616.0,Poland,1826,10.03976807
724.0,Spain,1826,15.12158301
826.0,United Kingdom,1826,14.00848726
32.0,Argentina,1827,12.77676466
56.0,Belgium,1827,17.97762264
156.0,China,1827,2.85824263
250.0,France,1827,15.13534624
276.0,Germany,1827,9.50703246
380.0,Italy,1827,4.13209383
392.0,Japan,1827,4.50757712
528.0,Netherlands,1827,13.18781441
616.0,Poland,1827,8.52636111
724.0,Spain,1827,19.42213417
826.0,United Kingdom,1827,13.77284196
32.0,Argentina,1828,13.19151936
56.0,Belgium,1828,19.23791204
250.0,France,1828,15.18860669
276.0,Germany,1828,9.26935665
380.0,Italy,1828,3.91571742
392.0,Japan,1828,5.22504614
528.0,Netherlands,1828,13.26686107
616.0,Poland,1828,7.86619134
724.0,Spain,1828,20.33886217
826.0,United Kingdom,1828,16.06615159
32.0,Argentina,1829,11.93141503
56.0,Belgium,1829,18.42988058
156.0,China,1829,2.99938383
250.0,France,1829,14.92523133
276.0,Germany,1829,9.26935665
380.0,Italy,1829,3.91376191
392.0,Japan,1829,3.71992091
528.0,Netherlands,1829,12.60821054
616.0,Poland,1829,8.66208007
724.0,Spain,1829,21.12558425
826.0,United Kingdom,1829,16.3327566
32.0,Argentina,1830,15.81185781
56.0,Belgium,1830,17.36290483
156.0,China,1830,2.94993389
250.0,France,1830,14.47371663
276.0,Germany,1830,8.62265734
380.0,Italy,1830,3.89323423
392.0,Japan,1830,3.54445294
528.0,Netherlands,1830,12.03989569
616.0,Poland,1830,8.24204776
724.0,Spain,1830,19.26821312
792.0,Turkey,1830,4.01127495
826.0,United Kingdom,1830,16.04995253
32.0,Argentina,1831,17.29280906
56.0,Belgium,1831,16.24915956
156.0,China,1831,2.79277632
250.0,France,1831,14.6432912
276.0,Germany,1831,7.41548532
380.0,Italy,1831,4.02377476
392.0,Japan,1831,3.40407857
528.0,Netherlands,1831,11.59471882
616.0,Poland,1831,5.36815386
724.0,Spain,1831,16.14728875
792.0,Turkey,1831,4.16970387
826.0,United Kingdom,1831,15.87125873
32.0,Argentina,1832,15.32973343
56.0,Belgium,1832,15.72977011
156.0,China,1832,2.70098194
250.0,France,1832,14.06973573
276.0,Germany,1832,7.88881417
380.0,Italy,1832,4.13528986
392.0,Japan,1832,3.80960454
528.0,Netherlands,1832,12.14031321
616.0,Poland,1832,9.20163566
724.0,Spain,1832,13.99064325
792.0,Turkey,1832,4.672
826.0,United Kingdom,1832,16.57590235
